season_code,league_name,division,Date,HomeTeam,AwayTeam,home_score,away_score,result,home_score_ht,away_score_ht,result_ht,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red
1617,Ligue 1,F1,2016-08-12,Bastia,Paris SG,0,1,A,0,0,D,10,9,0,6,2,6,15,16,3,3,0,0
1617,Ligue 1,F1,2016-08-12,Monaco,Guingamp,2,2,D,0,2,A,18,9,4,5,8,2,14,15,3,4,0,0
1617,Ligue 1,F1,2016-08-13,Bordeaux,St Etienne,3,2,H,1,0,H,10,14,6,5,3,6,9,20,1,2,0,0
1617,Ligue 1,F1,2016-08-13,Caen,Lorient,3,2,H,2,2,D,15,8,6,2,10,2,13,9,1,2,0,1
1617,Ligue 1,F1,2016-08-13,Dijon,Nantes,0,1,A,0,0,D,6,10,2,3,3,4,6,11,0,2,0,0
1617,Ligue 1,F1,2016-08-13,Metz,Lille,3,2,H,0,1,A,7,13,3,4,4,5,13,9,2,2,0,0
1617,Ligue 1,F1,2016-08-13,Montpellier,Angers,1,0,H,1,0,H,14,12,3,2,7,2,9,12,1,2,0,0
1617,Ligue 1,F1,2016-08-14,Marseille,Toulouse,0,0,D,0,0,D,10,6,2,2,9,6,14,12,3,1,0,0
1617,Ligue 1,F1,2016-08-14,Nancy,Lyon,0,3,A,0,2,A,11,9,1,7,4,4,18,14,4,2,0,0
1617,Ligue 1,F1,2016-08-14,Nice,Rennes,1,0,H,0,0,D,7,19,1,4,4,8,12,9,0,1,0,0
1617,Ligue 1,F1,2016-08-19,Lyon,Caen,2,0,H,1,0,H,21,7,7,1,13,3,17,14,3,4,0,0
1617,Ligue 1,F1,2016-08-20,Angers,Nice,0,1,A,0,1,A,21,14,6,8,10,3,11,10,1,2,0,0
1617,Ligue 1,F1,2016-08-20,Lille,Dijon,1,0,H,0,0,D,10,7,3,2,6,5,12,15,1,2,0,0
1617,Ligue 1,F1,2016-08-20,Lorient,Bastia,0,3,A,0,2,A,10,16,3,7,2,5,15,11,2,4,2,0
1617,Ligue 1,F1,2016-08-20,Nantes,Monaco,0,1,A,0,1,A,8,8,2,3,10,3,15,18,2,4,0,0
1617,Ligue 1,F1,2016-08-20,Rennes,Nancy,2,0,H,1,0,H,9,8,3,1,3,7,11,8,4,2,0,0
1617,Ligue 1,F1,2016-08-20,Toulouse,Bordeaux,4,1,H,2,0,H,11,9,5,2,3,6,19,14,1,3,0,1
1617,Ligue 1,F1,2016-08-21,Guingamp,Marseille,2,1,H,1,0,H,14,8,4,3,4,6,9,15,0,1,0,0
1617,Ligue 1,F1,2016-08-21,Paris SG,Metz,3,0,H,0,0,D,29,11,8,6,15,2,10,6,1,1,0,0
1617,Ligue 1,F1,2016-08-21,St Etienne,Montpellier,3,1,H,0,1,A,14,13,5,3,4,6,9,12,1,1,0,0
1617,Ligue 1,F1,2016-08-26,Marseille,Lorient,2,0,H,1,0,H,13,10,8,5,3,4,15,11,1,1,0,0
1617,Ligue 1,F1,2016-08-27,Caen,Bastia,2,0,H,0,0,D,17,5,4,1,5,2,15,20,1,5,0,0
1617,Ligue 1,F1,2016-08-27,Dijon,Lyon,4,2,H,2,2,D,8,25,5,9,2,10,11,9,2,2,0,0
1617,Ligue 1,F1,2016-08-27,Metz,Angers,2,0,H,1,0,H,7,23,2,7,5,9,9,11,2,2,0,0
1617,Ligue 1,F1,2016-08-27,Montpellier,Rennes,1,1,D,1,0,H,11,12,5,2,4,4,13,16,1,2,0,0
1617,Ligue 1,F1,2016-08-27,Nancy,Guingamp,0,2,A,0,0,D,19,14,3,6,5,3,9,10,2,1,0,0
1617,Ligue 1,F1,2016-08-27,Nice,Lille,1,1,D,1,1,D,13,8,6,3,4,6,13,13,2,2,0,0
1617,Ligue 1,F1,2016-08-28,Bordeaux,Nantes,1,0,H,1,0,H,9,16,7,6,4,8,16,16,2,1,0,0
1617,Ligue 1,F1,2016-08-28,Monaco,Paris SG,3,1,H,2,0,H,9,6,2,2,2,7,9,10,1,2,0,0
1617,Ligue 1,F1,2016-08-28,St Etienne,Toulouse,0,0,D,0,0,D,16,9,3,2,7,4,9,16,2,1,0,0
1617,Ligue 1,F1,2016-09-09,Paris SG,St Etienne,1,1,D,0,0,D,15,5,4,2,4,1,11,13,2,4,0,0
1617,Ligue 1,F1,2016-09-10,Angers,Dijon,3,1,H,1,1,D,13,7,7,2,6,1,13,9,1,2,1,1
1617,Ligue 1,F1,2016-09-10,Bastia,Toulouse,2,1,H,1,0,H,5,8,4,3,5,1,15,21,4,4,0,0
1617,Ligue 1,F1,2016-09-10,Guingamp,Montpellier,1,1,D,1,1,D,12,5,4,2,7,3,14,14,1,1,0,0
1617,Ligue 1,F1,2016-09-10,Lille,Monaco,1,4,A,0,2,A,6,9,3,6,8,1,19,13,3,1,0,0
1617,Ligue 1,F1,2016-09-10,Lorient,Nancy,0,2,A,0,1,A,9,7,2,3,8,3,11,20,0,5,0,0
1617,Ligue 1,F1,2016-09-10,Lyon,Bordeaux,1,3,A,1,1,D,11,10,4,6,4,4,14,7,2,1,1,0
1617,Ligue 1,F1,2016-09-11,Nantes,Metz,0,3,A,0,2,A,13,10,3,4,8,3,8,19,1,4,0,0
1617,Ligue 1,F1,2016-09-11,Nice,Marseille,3,2,H,1,1,D,18,14,7,5,6,3,10,15,2,3,0,0
1617,Ligue 1,F1,2016-09-11,Rennes,Caen,2,0,H,0,0,D,5,8,4,4,2,8,12,7,2,1,0,0
1617,Ligue 1,F1,2016-09-16,Caen,Paris SG,0,6,A,0,4,A,13,21,1,7,4,3,9,10,1,1,0,0
1617,Ligue 1,F1,2016-09-17,Bordeaux,Angers,0,1,A,0,1,A,10,5,4,5,3,5,9,17,0,4,1,0
1617,Ligue 1,F1,2016-09-17,Dijon,Metz,0,0,D,0,0,D,16,7,6,3,8,3,15,18,4,3,0,1
1617,Ligue 1,F1,2016-09-17,Lorient,Lille,1,0,H,0,0,D,9,10,4,0,4,2,12,10,2,2,0,0
1617,Ligue 1,F1,2016-09-17,Monaco,Rennes,3,0,H,1,0,H,17,5,7,3,3,4,13,10,1,1,0,0
1617,Ligue 1,F1,2016-09-17,Nancy,Nantes,1,1,D,0,0,D,9,14,2,5,2,2,10,18,0,0,0,0
1617,Ligue 1,F1,2016-09-17,Toulouse,Guingamp,2,1,H,0,0,D,13,5,5,3,8,1,18,11,4,3,0,1
1617,Ligue 1,F1,2016-09-18,Marseille,Lyon,0,0,D,0,0,D,13,14,2,1,6,1,16,12,3,2,0,0
1617,Ligue 1,F1,2016-09-18,Montpellier,Nice,1,1,D,0,0,D,15,9,5,4,6,3,18,12,1,1,0,0
1617,Ligue 1,F1,2016-09-18,St Etienne,Bastia,1,0,H,0,0,D,13,9,3,3,4,4,19,11,2,4,0,0
1617,Ligue 1,F1,2016-09-20,Lille,Toulouse,1,2,A,1,1,D,19,7,5,2,5,3,13,21,2,5,0,0
1617,Ligue 1,F1,2016-09-20,Paris SG,Dijon,3,0,H,2,0,H,8,8,4,4,5,4,8,7,1,0,0,0
1617,Ligue 1,F1,2016-09-21,Angers,Caen,2,1,H,1,0,H,13,6,5,1,1,4,12,11,0,1,0,0
1617,Ligue 1,F1,2016-09-21,Bastia,Nancy,0,0,D,0,0,D,10,4,5,2,5,3,12,19,0,0,0,0
